,Id,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,Authority,Hub,componentnumber,strongcompnum,clustering,eigencentrality,screen_name
562,marciaj64,4,0,4,32059,0,32059,0,0,0,0,85,5.50E-05,0.000535,0,0,696,0,0.023044,MarkHooperPlaid
563,racheleden,0,19,19,0,31342,31342,1,1,1,0,14,4.60E-05,0,0.000753,0,744,0,0,Craig_William5_
564,REDCaversham,1,0,1,2364,0,2364,0,0,0,0,14,4.80E-05,5.40E-05,0,0,743,0,0.005761,ruthalcroft
565,local_labour,25,0,25,65468,0,65468,0,0,0,0,153,0.000107,0.006079,0,0,742,0.001667,0.158627,tracey_crouch
566,JohnSaunders68,1,0,1,7325,0,7325,0,0,0,0,14,4.80E-05,5.40E-05,0,0,741,0,0.005761,MarkHunter
567,mandychamp,2,0,2,2915,0,2915,0,0,0,0,14,5.00E-05,0.000192,0,0,740,0,0.011522,cheadlelabour
568,Glenn_Dennis,3,0,3,5546,0,5546,0,0,0,0,14,5.20E-05,0.000249,0,0,739,0,0.017283,ChrisJVince
569,EllieEmberson,1,0,1,2083,0,2083,0,0,0,0,14,4.80E-05,5.40E-05,0,0,738,0,0.005761,billcashmore
570,patrickjmcguire,1,0,1,1318,0,1318,0,0,0,0,14,4.80E-05,5.40E-05,0,0,737,0,0.005761,CheshamAmersham
571,LabourWomenRdg,3,0,3,2558,0,2558,0,0,0,0,14,5.20E-05,0.000249,0,0,736,0,0.017283,EntrepAdvocate
572,rdgresident,1,0,1,1372,0,1372,0,0,0,0,14,4.80E-05,5.40E-05,0,0,735,0,0.005761,bilal_labour
573,dayapalsingh,3,0,3,1280,0,1280,0,0,0,0,1,5.20E-05,0.000807,0,0,734,0,0.017283,MarishaRay4MP
574,amanda_wrigley,1,0,1,1038,0,1038,0,0,0,0,14,4.80E-05,5.40E-05,0,0,733,0,0.005761,cllrmoon
575,GilleyRob321,1,0,1,2666,0,2666,0,0,0,0,14,4.80E-05,5.40E-05,0,0,732,0,0.005761,BridgetFox
576,WantLabour,1,0,1,248,0,248,0,0,0,0,14,4.80E-05,5.40E-05,0,0,731,0,0.005761,robertabwMP
577,gavinaldrich,1,0,1,939,0,939,0,0,0,0,14,4.80E-05,5.40E-05,0,0,730,0,0.005761,roy_horobin
578,duhanvikram,3,0,3,1449,0,1449,0,0,0,0,14,5.20E-05,0.000249,0,0,729,0,0.017283,plaidcymruchris
579,DrAndrewV2,1,0,1,1732,0,1732,0,0,0,0,14,4.80E-05,5.40E-05,0,0,728,0,0.005761,gareththomaslab
580,phi88,2,0,2,4054,0,4054,0,0,0,0,14,5.00E-05,0.000192,0,0,727,0,0.011522,CahalBurke
581,Murungien,1,0,1,386,0,386,0,0,0,0,14,4.80E-05,5.40E-05,0,0,726,0,0.005761,JulieMarson
582,ldmikebell,0,12,12,0,16799,16799,1,1,1,0,75,4.60E-05,0,0.000943,0,755,0,0,DavidHansonMP
583,RobertPayneWsM,1,0,1,2030,0,2030,0,0,0,0,75,4.90E-05,6.80E-05,0,0,754,0,0.005761,Emma4Devizes
584,keatingpatrick,2,0,2,1769,0,1769,0,0,0,0,75,5.10E-05,0.000157,0,0,753,0,0.011522,RobertLibDem
585,WsMLibDems,1,0,1,756,0,756,0,0,0,0,75,4.90E-05,6.80E-05,0,0,752,0,0.005761,DavidMundellDCT
