screen_name,device_count,fav_avg,fav_max,fav_std,fav_total,len_mean,rt_avg,rt_max,rt_std,rt_total,time_delta,follower,friends,eleted
a_adeyemo,5,1.585869565,211,8.58798556,1459,117.5315217,1310.425,1086062,35796.26995,1205591,0.398258977,1251,1752,1
roisinlynchsdlp,7,0.82038835,56,3.458740419,676,125.0449029,212.2742718,49672,2465.668271,174914,0.444714459,1075,787,0
philhutty,7,0.630208333,12,1.601992236,242,117.7109375,138.1692708,8788,559.361024,53057,0.942558747,574,384,1
GPWebb,6,0.644479248,49,2.716375351,823,117.908379,494.027408,53174,2710.04886,630873,0.286833856,1188,2710,1
andrealeadsom,8,29.35972061,1178,77.87671106,25220,124.9965076,76.10011641,6007,331.2470588,65370,0.341491841,5000,928,1
robjlinds,7,0.780962129,151,5.547886436,763,112.6264074,144.1248721,17323,969.6029233,140810,0.37397541,1056,1027,1
Sarah_C_Church,8,1.455310881,121,5.832335518,2247,112.9702073,1076.962435,410289,13811.15431,1662830,0.236552171,1265,740,0
cmackinlay,5,7.572327044,770,36.43670468,6020,129.9031447,214.2402516,49672,1956.351668,170321,0.460957179,5000,960,0
warelane,8,0.50639244,12,1.208105957,911,82.0889383,28.39355197,22252,551.9094659,51080,0.158509455,5000,1303,1
Steven4Stirling,3,5,162,14.09174247,2720,125.5091912,138.5606618,16081,842.3865345,75377,0.672191529,5000,1984,0
RuthSmeeth,6,11.76676385,1319,72.98614712,8072,121.7755102,180.7376093,29252,1427.83022,123986,0.534306569,5000,918,1
mikenesbittni,4,15.08356941,1395,64.66043435,10649,107.5934844,188.9716714,39756,2013.946622,133414,0.517730496,5000,710,1
DomGiles1,6,0.649063032,13,1.528662544,381,119.8722317,1418.172061,227799,10375.06301,832467,0.624573379,670,666,0
RhydianFitter,7,1.344868735,52,4.508455717,1127,117.4928401,28.22195704,2193,148.9657451,23650,0.437275986,1513,634,1
GarethLibDem,7,0.324123989,24,1.421128676,481,126.9204852,2750.946092,3622841,94020.03321,4082404,0.244099798,1254,1662,1
Geoffrey_Cox,6,4.546153846,127,12.22299947,591,108.4,26.63076923,623,88.36420599,3462,2.829457364,5000,501,0
BorisJohnson,6,502.2208696,6381,667.0419333,288777,130.3321739,307.0730435,15414,760.9385908,176567,0.637630662,5000,179,0
greycoatlaw,3,0.258555133,9,0.776112598,68,117.6692015,0.562737643,23,2.43915683,148,1.179389313,353,356,0
MattWestern_,8,0.898852972,21,2.058880087,862,105.4118874,44.31178311,8515,365.0639862,42495,0.382045929,3259,1589,0
ianstotesbury,6,1.285714286,29,3.464586311,1422,122.3056058,322.994575,167355,5119.303709,357232,0.331221719,810,944,1
tessamunt,6,2.361764706,76,6.223414738,803,106.5705882,92.09705882,13483,780.378686,31313,1.076696165,5000,1530,1
lizleffman,7,30.89236111,680,64.95483642,8897,114.4756944,51.19444444,1490,139.9856281,14744,1.254355401,2548,163,1
AndyCroy,7,0.296735905,34,1.464036136,400,115.8560831,729.3442136,159053,6504.232553,983156,0.270972532,652,810,1
EmmaReynoldsMP,5,5.63677639,772,34.49801798,4966,121.5891033,111.9307605,18684,855.1804469,98611,0.415909091,5000,2308,0
CarrieAHarper,4,0.742857143,42,4.213422026,78,117.4190476,406.0571429,19741,2153.62057,42636,3.403846154,1219,821,0
marygwengriff,6,0.485611511,18,1.38132775,270,115.602518,304.2517986,22252,1687.879737,169164,0.657657658,822,617,1
nickherbertmp,6,3.8016,129,10.2561902,2376,129.2352,104.4416,37087,1512.710344,65276,0.586538462,5000,296,1
GloriaDePiero,6,7.84143086,382,21.99312984,14687,112.04378,348.5216231,85397,3536.558734,652781,0.195512821,5000,4982,1
DamianGreen,6,3.305236271,239,13.79599811,2588,118.7203065,119.2924649,13086,620.9683453,93406,0.468030691,5000,840,0
DLidington,6,1.792046936,466,13.2566842,2749,122.3383312,302.2307692,218526,5691.355652,463622,0.238095238,5000,2067,0
EilidhWhiteford,5,11.62133891,644,45.84375097,5555,125.3179916,223.9748954,19741,1293.278531,107060,0.765199161,5000,622,1
Wera_Hobhouse,7,1.038577912,90,4.673049564,1373,116.1028744,281.4871407,31324,1938.799749,372126,0.27327782,5000,4446,0
GRobinsonDUP,3,0.982346241,39,3.086126345,1725,112.9117312,41.10364465,49673,1191.430258,72178,0.208547009,5000,641,1
AlMcDonnellSB,5,4.349322211,97,7.803502934,4171,131.8686131,17.38477581,6938,230.8692036,16672,0.381002088,5000,1099,1
ScottDickinson0,5,0.696658098,87,4.662436904,271,119.9845758,233.7120823,20780,1607.576265,90914,0.930412371,865,1021,1
