screen_name,device_count,fav_avg,fav_max,fav_std,fav_total,len_mean,rt_avg,rt_max,rt_std,rt_total,time_delta,follower,friends,eleted
BrendanOHaraSNP,3,39.67080745,3188,252.9934027,6387,128.3354037,332.2981366,19223,1627.837345,53500,0.58125,5000,1016,0
LabourASD,2,1.554878049,10,2.042992332,255,122.25,43.67682927,2380,247.8421492,7163,0.558282209,2091,1714,1
sanng7,3,0.651785714,14,1.89788332,73,117.9196429,320.9642857,13693,1334.201707,35948,0.81981982,139,107,1
shannon_1976,2,0.5,4,1.072380529,10,121.25,36.85,301,75.63681313,737,1.052631579,66,37,1
BstokeGreens,3,0.433333333,2,0.66749948,13,103.4333333,10.43333333,305,54.70203124,313,1.172413793,746,770,0
JohnMannMP,3,13.70169492,257,33.46051299,4042,118.9355932,246.1627119,12095,1207.621313,72618,0.316326531,5000,507,0
GreenElField,4,1.845771144,29,3.665231903,371,124.1641791,391.5174129,51812,3718.671938,78695,0.46,555,358,1
JulieIreland,3,1.330769231,44,4.564728422,173,126.1538462,323.6076923,33200,2899.025541,42069,0.705426357,446,257,0
gemmacweir1,1,0.948717949,7,1.893967724,37,123.7948718,3.538461538,12,3.01148361,138,2.447368421,617,345,1
cllrtimattwood,2,2.308900524,41,5.394769073,441,128.3089005,146.3246073,23359,1686.016352,27948,0.489473684,1321,422,1
AjmalMasroor,5,1.250712251,38,2.560903354,439,118.6524217,0.806267806,95,5.145967971,283,0.265714286,5000,182,1
frankfieldteam,2,11.52873563,83,14.73352505,1003,122.2758621,14.3908046,102,20.15991033,1252,1.081395349,5000,261,1
RichardBurdenMP,3,4.851123596,245,17.38033804,1727,124.6629213,205.2078652,15178,1387.239562,73054,0.261971831,5000,878,1
johnhemming4mp,3,0.68378063,24,1.941172326,586,108.8564761,3.751458576,695,37.21450735,3215,0.089953271,5000,5000,1
C_F_Adams,2,1.157894737,27,4.486977155,44,117.5526316,83.71052632,1526,272.4516285,3181,2.054054054,521,800,1
atbutcher,5,0.173469388,6,0.614875302,34,58.55612245,12.6122449,784,78.02728888,2472,0.476923077,442,1174,1
cllrjamesdaly,1,0.173913043,3,0.60088152,8,130.673913,108.1956522,4316,627.6474578,4977,1.622222222,839,731,1
mattwarman,4,1.423529412,27,3.7255129,484,109.3617647,98.66470588,32142,1740.502064,33546,0.274336283,5000,5000,0
CllrSimonBull,3,0.129436326,6,0.563272106,62,124.4008351,218.045929,28991,1414.271241,104444,0.194560669,592,993,0
DWard,3,3.060728745,258,17.25869951,756,110.1174089,8.753036437,899,64.74196479,2162,0.37398374,5000,575,1
kathen16,4,0.554809843,25,2.669911543,248,125.0850112,833.8568233,150382,7399.385392,372734,0.18161435,259,447,1
DanLodge,4,0.786516854,30,3.296139758,70,115.1910112,638.0898876,12367,1914.987984,56790,1.056818182,876,732,1
RahoulBhansali,3,0.751361162,96,4.621212135,414,126.4555354,2382.660617,1086050,46279.86892,1312846,0.167272727,2669,1498,1
anton_georgiou,4,7.818018018,617,34.74443684,4339,126.8684685,4372.581982,676284,34634.07902,2426783,0.167870036,2079,926,0
alexburghart,1,1.217008798,29,3.037372953,415,120.542522,320.4398827,22146,1504.998308,109270,0.132352941,2309,1200,1
mickmcgough,4,0.325842697,23,1.27001089,174,96.2247191,180.4925094,7130,735.5124809,96383,0.170731707,695,426,0
craftysci,4,0.660839161,21,1.998339694,189,113.5034965,483.1363636,51811,3565.314583,138177,0.322807018,512,549,1
CarolineLucas,5,316.0507614,10787,851.530004,186786,123.927242,300.8257191,15798,844.2602535,177788,0.138983051,5000,5000,1
EmmaWarman,3,0.966873706,139,6.764826517,467,117.8178054,352.5424431,73876,3485.268657,170278,0.192946058,1067,1163,1
sharmilabousa,1,0.848571429,43,3.512823157,297,110.82,177.9914286,6939,731.0082215,62297,0.200573066,1406,1201,1
CeliaBristol,4,1.088815789,47,3.190550384,331,124.2960526,161.6381579,38054,2182.493744,49138,0.306930693,352,655,1
JulieForBurnley,2,4.9625,58,8.588427897,794,118.6625,94.1625,2456,325.5108848,15066,0.578616352,5000,726,0
struanmackie,3,0.568965517,18,2.436164799,33,120.5,510.9137931,13086,1966.588095,29633,1.526315789,530,432,0
JoshFG,4,5.960612691,371,20.90613026,2724,104.0350109,8083.90372,3622840,169279.9316,3694344,0.203947368,3806,3191,1
RyburnRob,5,1.11627907,9,2.082142259,48,116.2325581,1484.767442,45331,6945.735998,63845,1.119047619,104,194,1
DrBenSpencer,3,1.955555556,24,4.049447455,88,120.7777778,113.8444444,2170,347.4588356,5123,2.068181818,507,451,0
JamesCanterbury,1,3.308080808,80,8.41541607,655,127.2424242,284.6313131,5942,745.4015936,56357,0.472081218,1683,2134,1
MarkHooperPlaid,4,2.293854749,53,5.151310101,2053,112.7128492,8.224581006,258,20.44471655,7361,0.104026846,425,244,1
Craig_William5_,3,1.096541787,57,4.168727354,761,123.1959654,79.72910663,5396,369.5284733,55332,0.134199134,4491,1077,0
ruthalcroft,5,1.835616438,20,2.970234522,134,129.739726,2.876712329,16,3.306055902,210,0.472222222,414,291,1
tracey_crouch,4,7.869444444,183,18.80993117,2833,96.94444444,100.0972222,16227,963.2201023,36035,0.259052925,5000,858,0
MarkHunter,5,2.042288557,39,4.396482395,821,110.039801,172.8706468,24691,1409.156451,69494,0.119700748,3051,531,1
