Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,Authority,Hub,componentnumber,strongcompnum,clustering,eigencentrality
lewis_herbert,,,4,0,4,60444,0,60444,0,0,0,0,56,0.00005,0.002345,0,0,174,0,0.023044
TheCthSense,,,1,0,1,87,0,87,0,0,0,0,56,0.000047,0.001094,0,0,173,0,0.005761
nmassey79,,,1,0,1,253,0,253,0,0,0,0,56,0.000047,0.001094,0,0,172,0,0.005761
lennyvalentino,,,1,0,1,1432,0,1432,0,0,0,0,56,0.000047,0.001094,0,0,171,0,0.005761
ShellyAsquith,,,1,0,1,39350,0,39350,0,0,0,0,56,0.000047,0.001094,0,0,170,0,0.005761
cambridge_stays,,,2,0,2,4451,0,4451,0,0,0,0,56,0.000048,0.00114,0,0,169,0,0.016595
LucyWCam,,,1,0,1,208,0,208,0,0,0,0,56,0.000047,0.001094,0,0,168,0,0.005761
cwuEastern__No5,,,3,0,3,3466,0,3466,0,0,0,0,56,0.000053,0.001293,0,0,167,0,0.017283
AngliaRuskinSU,,,2,0,2,19923,0,19923,0,0,0,0,56,0.000048,0.00114,0,0,166,0,0.016595
MaryMRClement,,,1,0,1,69,0,69,0,0,0,0,56,0.000047,0.001094,0,0,165,0,0.005761
Allchanges,,,10,0,10,209100,0,209100,0,0,0,0,0,0.000064,0.01361,0,0,164,0,0.057611
adamjmason,,,1,0,1,384,0,384,0,0,0,0,56,0.000047,0.001094,0,0,163,0,0.005761
SECambsLabour,,,1,0,1,875,0,875,0,0,0,0,56,0.000047,0.001094,0,0,162,0,0.005761
adobemotion,,,20,0,20,48109,0,48109,0,0,0,0,56,0.00008,0.009714,0,0,161,0,0.123944
Jessica_Asato,,,23,0,23,281058,0,281058,0,0,0,0,1,0.000158,0.009853,0,0,160,0.003953,0.204926
sophie4labour,,,1,0,1,623,0,623,0,0,0,0,56,0.000047,0.001094,0,0,159,0,0.005761
